Cluster,Token
-1,"Augmented Reality, Problem solving, Entreprenuership, Database Management, Embedded Systems, Leadership, Supply Chain, Virtual Reality, Project management, IoT, Customer Experience, Team building, Visual Effects, Wood working, Laser cutting, Liscensing, Medical Imaging, Telemedicine, Health Informatics, Material science, Sustainability"
0,"Prototyping, UX Design, UI Design, Product Design, Branding, Interaction Design, 3D Modeling, Animation, Marketing, Collaborative design, Human-centered Design practice, Storyboarding, Packaging Design, Experiential Design, Product Launch, 3D Simulation, Product Management, Game Art, 3D printing, 2D / 3D Sketching, Human computer interaction"
1,"Programming, Machine Learning, Data Analytics, Business Intelligence, Big Data, Data mining, Artificial Intelligence"
2,"Competitive Analysis, Market Analysis"
3,"Presentation, Public speaking"
4,"Business Planning, Strategic Decision Making, Accounting, Budgeting, Investment Planning, Business model development"
5,"Manufacturing, Metal Working"
6,"Back-end Web development, Front-end Web development, Full-stack web development"
7,"Data Visualization, Data Modelling, Data structures and Algorithms"
8,"Fashion, Textiles"
9,"User testing, User research"
