Index,Tokens,Counts,Description (Gemini),Description (ChatGPT),Description (Claude),Description Syn
35,Prototyping,10,"Creating early, functional models of a product to test concepts or processes.",Creating early models or mockups to test ideas quickly.,,"Mockups, wireframing, modeling, proof of concept"
15,UX Design,6,"(User Experience) Designing products to provide meaningful, intuitive, and relevant experiences to users.",Designing user experiences that are useful and easy to use.,,"User experience design, user journey mapping, usability engineering"
14,UI Design,5,"(User Interface) Designing the visual elements, screens, and interactive touchpoints of a digital product.",Designing visual interfaces users interact with.,,"User interface design, visual design, screen design, GUI (Graphical User Interface)"
47,Product Design,5,The holistic process of identifying a market opportunity and creating a product to solve a specific problem.,Designing products that solve user problems effectively.,,"Industrial design, product development, physical design"
49,Branding,5,"Establishing a distinct identity, name, and image for a product or company in the market.",Creating a distinct identity for a company or product.,,"Brand identity, corporate identity, brand strategy, brand management"
57,Interaction Design,5,Focusing on creating engaging interfaces with well-thought-out behaviors and animations.,Designing how users interact with systems and interfaces.,,"IxD, interactive design, behavioral design, micro-interactions"
59,Programming,5,Writing code to instruct computers or software to perform specific tasks.,Writing code to build software applications.,,"Coding, software development, software engineering, scripting"
4,Competitive Analysis,4,Researching and evaluating competitors to understand their strengths and weaknesses in the market.,Evaluating competitors to understand strengths and weaknesses.,,"Competitor research, market intelligence, benchmarking"
6,Market Analysis,4,"Assessing a specific market's dynamics, trends, and target audience to inform business decisions.","Studying market trends, customers, and opportunities.",,"Market research, industry analysis, market assessment"
12,Augmented Reality,4,"Overlaying digital information, objects, or images onto the real-world environment.",Overlaying digital elements onto the real world.,,"AR, mixed reality, spatial computing"
16,3D Modeling,4,Creating a mathematical representation of any three-dimensional object using specialized software.,Creating three-dimensional digital representations of objects.,,"3D design, CAD (Computer-Aided Design), 3D rendering"
36,Problem solving,4,The analytical process of finding effective solutions to difficult or complex issues.,Identifying issues and developing effective solutions.,,"Troubleshooting, analytical thinking, issue resolution, critical thinking"
18,Animation,3,"Bringing static images, drawings, or 3D models to life through sequential movement.",Creating motion from static images or models.,,"Motion graphics, CGI, stop motion, 2D/3D animation"
19,Entreprenuership,3,"(Spelled as in image) The activity of setting up a business, taking on financial risks in the hope of profit.",Starting and managing new business ventures.,,"Business ownership, startup creation, venture building, founding"
20,Marketing,3,The activities a company undertakes to promote the buying or selling of a product or service.,Promoting products or services to target audiences.,,"Promotion, advertising, digital marketing, growth hacking"
24,Database Management,3,"Organizing, storing, and retrieving data efficiently and securely using software systems.",Organizing and maintaining structured data efficiently.,,"DBM, database administration, data storage, SQL/NoSQL"
27,Embedded Systems,3,Specialized computer systems designed to perform dedicated functions within larger mechanical or electrical systems.,Computing systems integrated into hardware devices.,,"Firmware development, microcontroller programming, hardware-software integration"
29,Machine Learning,3,A branch of AI enabling computers to learn and improve from data without being explicitly programmed.,Training algorithms to learn from data and improve.,,"ML, predictive modeling, statistical learning, pattern recognition"
37,Collaborative design,3,"Multiple individuals, stakeholders, or teams working together to create a cohesive design solution.",Designing solutions through teamwork and shared input.,,"Co-design, participatory design, cross-functional design"
43,Human-centered Design practice,3,An approach to problem-solving that prioritizes the human perspective and user needs in all steps.,Designing solutions focused on human needs and behaviors.,,"HCD, design thinking, user-centric design"
46,Storyboarding,3,"Creating a sequence of drawings to pre-visualize a motion picture, animation, or user journey.",Visual planning of narratives or user flows.,,"Sequential art, visual narrative, shot planning, pre-visualization"
48,Packaging Design,3,"Designing the exterior look and structural casing of a product, focusing on aesthetics and protection.",Designing product packaging for function and appeal.,,"Package engineering, structural packaging, box design"
72,Presentation,3,"Effectively conveying information from a speaker to an audience, often utilizing visual aids.",Communicating ideas clearly to an audience.,,"Pitching, slide design, deck creation, visual communication"
2,Leadership,2,"The ability to guide, motivate, and direct a group of people toward achieving a common goal.",Guiding and motivating individuals or teams.,,"Management, team leading, executive leadership, guidance"
5,Business Planning,2,Documenting a company's goals and outlining the strategies and financial plans to achieve them.,"Strategizing goals, operations, and growth for a business.",,"Strategic planning, business strategy, roadmapping"
10,Manufacturing,2,"The large-scale production of goods using labor, machines, tools, and chemical or biological processing.",Producing goods through industrial processes.,,"Production, fabrication, assembly, mass production"
11,Supply Chain,2,"Managing the entire system of producing and delivering a product, from raw materials to end-users.",Managing the flow of goods from production to delivery.,,"Logistics, supply chain management (SCM), procurement, distribution"
13,Virtual Reality,2,"A fully immersive, simulated 3D environment that users can explore using special headsets.",Immersive digital environments experienced through devices.,,"VR, immersive tech, simulated reality"
22,Back-end Web development,2,"Building and maintaining the server-side logic, databases, and APIs that power websites behind the scenes.",Building server-side logic and databases for websites.,,"Server-side development, API development, backend engineering"
25,Data Visualization,2,"Representing complex data and information visually using charts, graphs, and maps.",Presenting data graphically to reveal insights.,,"Information design, data charting, graphing, dashboards"
30,Data Analytics,2,"Examining raw datasets to uncover hidden patterns, draw conclusions, and make informed decisions.",Analyzing data to extract meaningful insights.,,"Data analysis, business analytics, quantitative analysis"
38,Project management,2,"Planning, organizing, and directing resources to achieve specific project goals within a set timeframe.",Planning and overseeing projects to meet goals.,,"PM, agile, scrum, project coordination, workflow management"
40,Fashion,2,"The art of applying design, aesthetics, and clothing construction to garments and accessories.",Designing clothing and wearable aesthetics.,,"Apparel design, clothing design, garment construction, haute couture"
42,Experiential Design,2,"Creating immersive physical or digital environments that engage people on a deep, emotional level.","Designing engaging, immersive user experiences.",,"Spatial design, environmental design, interactive spaces"
61,Product Launch,2,"The coordinated, strategic effort to introduce a new product to the consumer market.",Introducing a product to the market.,,"Go-to-market (GTM), product release, product rollout"
63,3D Simulation,2,Creating a digital replica of a physical process or system to study its real-world behavior.,Simulating real-world processes in three dimensions.,,"Digital twin, computational modeling, virtual simulation"
1,Product Management,1,"Guiding the lifecycle of a product from initial conception through development, launch, and beyond.","Overseeing product strategy, development, and lifecycle.",,"PdM, product strategy, product lifecycle management"
3,Strategic Decision Making,1,Making long-term choices that align with and support an organization's overall goals and vision.,Making long-term decisions aligned with goals.,,"Strategic management, executive strategy, long-term planning"
7,Accounting,1,"Recording, analyzing, and reporting the daily financial transactions and health of a business.",Recording and managing financial transactions.,,"Bookkeeping, financial reporting, auditing, ledger management"
8,Budgeting,1,Creating a structured plan to manage income and spend money over a specific period.,Planning and controlling financial resources.,,"Financial planning, cost allocation, forecasting"
9,Investment Planning,1,Strategizing the allocation of financial resources to generate future income or long-term profit.,Strategizing allocation of funds for growth.,,"Portfolio management, wealth management, asset allocation"
17,Game Art,1,"Creating the visual elements (characters, environments, assets, textures) used in video games.",Creating visual assets for video games.,,"Game assets, character design, environment art, concept art"
21,Front-end Web development,1,"Building the user-facing side of a website, including layout, design, and interactive elements.",Building the user-facing parts of websites.,,"Client-side development, web design, UI engineering"
23,Data Modelling,1,Creating a conceptual representation of data structures and how different pieces of data relate to one another.,Structuring data relationships for efficient use.,,"Data architecture, database design, schema design"
26,Data structures and Algorithms,1,Organizing data efficiently and providing step-by-step logical procedures for solving computational problems.,Organizing data and designing efficient computational methods.,,"DSA, computational logic, algorithm design"
28,IoT,1,"(Internet of Things) The network of everyday physical devices connected to the internet, sharing and collecting data.",Connecting physical devices to the internet for data exchange.,,"Internet of Things, connected devices, smart devices"
