Cluster,Token
-1,"Prototyping, Programming, Animation, Embedded Systems, Machine Learning, Storyboarding, Supply Chain, Fashion, Accounting, Game Art, IoT, User testing, Customer Experience, Visual Effects, Laser cutting, Textiles, Artificial Intelligence, 2D / 3D Sketching, Liscensing, Medical Imaging, Telemedicine, Health Informatics, Material science"
0,"UX Design, UI Design, Product Design, Branding, Interaction Design, Competitive Analysis, Market Analysis, Augmented Reality, Problem solving, Marketing, Collaborative design, Human-centered Design practice, Packaging Design, Virtual Reality, Project management, Experiential Design, Product Launch, Product Management, Human computer interaction, User research, Sustainability"
1,"3D Modeling, 3D Simulation, 3D printing"
2,"Entreprenuership, Business Planning, Strategic Decision Making, Business model development"
3,"Database Management, Data Visualization, Data Analytics, Data Modelling, Data structures and Algorithms, Business Intelligence, Big Data, Data mining"
4,"Presentation, Public speaking"
5,"Leadership, Team building"
6,"Manufacturing, Wood working, Metal Working"
7,"Back-end Web development, Front-end Web development, Full-stack web development"
8,"Budgeting, Investment Planning"
