Cluster,Token
-1,"Programming, Problem solving, Entreprenuership, Marketing, Database Management, Embedded Systems, Storyboarding, Presentation, Leadership, Data Visualization, Project management, Accounting, Budgeting, Investment Planning, Game Art, Data structures and Algorithms, IoT, Big Data, Public speaking, Team building, Data mining, Business model development, Liscensing, Medical Imaging, Telemedicine, Health Informatics"
0,"Prototyping, 2D / 3D Sketching"
1,"UX Design, UI Design, Interaction Design, Collaborative design, Human-centered Design practice, Experiential Design, User testing, Human computer interaction, User research, Sustainability"
2,"Product Design, 3D Modeling, Packaging Design, Manufacturing, Supply Chain, Fashion, Product Launch, 3D Simulation, Product Management, Wood working, Metal Working, Laser cutting, 3D printing, Textiles, Material science"
3,"Branding, Customer Experience"
4,"Competitive Analysis, Market Analysis, Data Analytics, Data Modelling, Business Intelligence"
5,"Augmented Reality, Virtual Reality"
6,"Animation, Visual Effects"
7,"Machine Learning, Artificial Intelligence"
8,"Business Planning, Strategic Decision Making"
9,"Back-end Web development, Front-end Web development, Full-stack web development"
